src_file,window_file,start_s,dur_s,kick_in_window_s,kick_frame
data/clips/penalties_720p/2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s.mp4,data/clips/kick_windows_720p_v2/2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s_KICK.mp4,8.580,4.000,1.500,252
data/clips/penalties_720p/2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s.mp4,data/clips/kick_windows_720p_v2/2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s_KICK.mp4,9.300,4.000,1.500,270
data/clips/penalties_720p/2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s.mp4,data/clips/kick_windows_720p_v2/2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s_KICK.mp4,8.780,4.000,1.500,257
data/clips/penalties_720p/2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s.mp4,data/clips/kick_windows_720p_v2/2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s_KICK.mp4,9.220,4.000,1.500,268
data/clips/penalties_720p/2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s.mp4,data/clips/kick_windows_720p_v2/2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s_KICK.mp4,8.940,4.000,1.500,261
data/clips/penalties_720p/2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s.mp4,data/clips/kick_windows_720p_v2/2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s_KICK.mp4,9.220,4.000,1.500,268
data/clips/penalties_720p/2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s.mp4,data/clips/kick_windows_720p_v2/2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s_KICK.mp4,9.380,4.000,1.500,272
data/clips/penalties_720p/2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s.mp4,data/clips/kick_windows_720p_v2/2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s_KICK.mp4,8.820,4.000,1.500,258
data/clips/penalties_720p/2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s.mp4,data/clips/kick_windows_720p_v2/2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s_KICK.mp4,8.820,4.000,1.500,258
data/clips/penalties_720p/2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s.mp4,data/clips/kick_windows_720p_v2/2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s_KICK.mp4,9.020,4.000,1.500,263
data/clips/penalties_720p/2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s.mp4,data/clips/kick_windows_720p_v2/2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s_KICK.mp4,8.980,4.000,1.500,262
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s_KICK.mp4,9.420,4.000,1.500,273
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s_KICK.mp4,8.900,4.000,1.500,260
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s_KICK.mp4,9.260,4.000,1.500,269
data/clips/penalties_720p/2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s.mp4,data/clips/kick_windows_720p_v2/2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s_KICK.mp4,9.220,4.000,1.500,268
